"Скважина","НГДУ","ЦДНГ","ГУ","ЗУ","Категория","Состояние","Причина простоя","Способ эксплуатации","№ отвода","Qж, м³/сут","Обв, %","Qн, т/сут"
UZN_0781,НГДУ-3,,,,Нагнетательная,Ликвидированная,Технические причины,Отсутствует,,,,
UZN_0782,НГДУ-3,,,,Нагнетательная,Ликвидированная,Технические причины,Отсутствует,,,,
UZN_0783,НГДУ-3,,,,Нагнетательная,Ликвидированная,Технические причины,Отсутствует,,,,
UZN_0784,НГДУ-3,,,,Нагнетательная,Ликвидированная,Технические причины,Отсутствует,,,,
UZN_0785,НГДУ-1,,,,Нагнетательная,Ликвидированная,Технические причины,Отсутствует,,,,
UZN_0786,НГДУ-3,,,,Нагнетательная,Ликвидированная,Технические причины,Отсутствует,,,,
UZN_0787,НГДУ-3,,,,Нагнетательная,Ликвидированная,Технические причины,Отсутствует,,,,
UZN_0788,НГДУ-3,,,,Нагнетательная,Ликвидированная,Технические причины,Отсутствует,,,,
UZN_0789,НГДУ-3,,,,Нагнетательная,Ликвидированная,Технические причины,Отсутствует,,,,
UZN_0790,НГДУ-2,,,,Нагнетательная,Ликвидированная,Технические причины,Отсутствует,,,,
UZN_0791,НГДУ-3,,,,Нагнетательная,Ликвидированная,Технические причины,Отсутствует,,,,
UZN_0792,НГДУ-3,,,,Нагнетательная,Ликвидированная,Технические причины,Отсутствует,,,,
UZN_0793,НГДУ-3,,,,Нагнетательная,Ликвидированная,Технические причины,Отсутствует,,,,
UZN_0794,НГДУ-3,,,,Нагнетательная,Ликвидированная,Технические причины,Отсутствует,,,,
UZN_0795,НГДУ-1,,,,Нагнетательная,Ликвидированная,Технические причины,Отсутствует,,,,
UZN_0797,НГДУ-3,,,,Нагнетательная,Ликвидированная,Технические причины,Отсутствует,,,,
UZN_0798,НГДУ-4,ЦДНГ-6,ГУ-10,ЗУ-10б,Нефтяная,В работе,,ШГН,13.000000,55.0,95.0,2.0
